year,Total,Average of Min Player Age,Average of Min Players,Average of Max Players,Average of Min Playtime,Average of Max Playtime,Average User Score,Average Complexity Rating,Average Number of Designers,Average Number of Artists,Average Number of Publishers,Average Number of Honors,Average Count of Categories,Average Count of Mechanics,Average Count of Expansions,Average Count of Versions
1960,21,7.38,2,4.1,47,55,5.19,1.57,1.19,0.52,4.62,0,1.95,1.9,0,10.1
1961,11,8.73,2,4.7,83,83,5.01,1.87,1.27,0.27,2.18,0,1.82,2.36,0,4.64
1962,19,10,1.9,3.9,63,68,5.04,1.69,1.26,0.58,3.95,0.05,2.11,1.42,0.58,7.89
1963,14,8.5,2.6,12,63,76,5.5,1.84,1.5,0.36,4.57,0.21,2.21,1.57,0.07,6.93
1964,27,8.37,2,4.3,46,46,4.37,1.49,1.15,0.33,3.22,0.11,2.44,1.56,0.11,6.19
1965,32,7.31,1.8,4.2,37,37,4.53,1.34,1.16,0.47,6.97,0.09,2.19,1.34,0.31,14.13
1966,18,6.28,2.1,6.8,64,64,3.31,1.67,1.28,0.22,3.39,0.06,2.61,1.56,0.39,6.5
1967,29,7.38,2.1,5.1,44,44,3.83,1.55,1.24,0.24,4.52,0.03,1.97,1.21,0,8.41
1968,26,6.85,2,3.8,57,57,4.44,1.73,1.12,0.58,6.27,0.04,2.27,1.5,0.08,42.08
1969,37,7.97,2.1,4.3,67,67,3.76,1.79,1.22,0.54,3.49,0.08,2.05,1.27,0,4.22
1970,40,6.53,1.8,3.9,47,49,4.28,1.54,1.23,1.33,3.4,0.03,2.1,1.2,0.18,6.5
1971,41,9.46,1.9,3.8,89,90,4.88,1.97,1.2,0.44,3.46,0,2.39,1.68,0.37,7.1
1972,76,8.91,1.9,4.1,80,80,4.81,1.82,1.33,0.61,2.63,0.03,2.24,1.58,0.03,4.76
1973,86,8.91,2,4.6,217,219,4.45,1.92,1.2,0.69,2.78,0.03,1.99,1.58,0.09,4.35
1974,75,9.23,1.9,3.8,119,120,4.85,2.11,1.2,0.93,3.32,0.13,2.47,1.89,0.25,5.2
1975,131,9.07,2,5.1,86,95,4.73,1.89,1.3,0.76,2.79,0.15,2.26,1.78,0.1,3.86
1976,85,9.41,1.9,3.6,130,177,4.19,2.01,1.31,0.93,2.46,0.19,2.31,1.53,0.15,3.24
1977,128,9.37,2,3.5,109,113,4.56,2.03,1.35,1.09,3.38,0.13,2.33,1.63,0.51,5.26
1978,116,9.44,1.9,4.3,116,116,4.47,2.08,1.34,0.83,2.44,0.23,2.3,1.61,0.19,3.38
1979,155,10.02,1.9,4.2,532,595,4.66,2.26,1.38,1.01,2.2,0.16,2.46,1.81,0.89,3.39
1980,143,9.52,1.8,6.6,98,119,4.69,2.14,1.27,1.09,2.15,0.22,2.35,1.9,0.2,2.73
1981,177,10.12,1.9,4.5,121,137,4.67,2.21,1.33,1.18,1.89,0.27,2.44,1.71,0.99,2.55
